select_method_used,count,fraction
initial_positive,45,0.4017857142857143
initial_positive_promote_long_ext,43,0.38392857142857145
initial_positive_tangent,10,0.08928571428571429
initial_positive_ext,7,0.0625
initial_positive_post_broad_overfit_ext_neighbor_recheck_right,2,0.017857142857142856
full_range_outlier_skip_intskip2,1,0.008928571428571428
initial_positive_ext_intskip1,1,0.008928571428571428
initial_positive_early_steep,1,0.008928571428571428
initial_positive_promote_long_ext_col1_consensus_t0,1,0.008928571428571428
initial_positive_promote_long_ext_tangent,1,0.008928571428571428
